city,year,income,expend,gdp,gap,gap_to_gdp,income_growth,expend_growth,real_estate_inv,house_sales
杭州,2011,785.15,747.51,7019.06,-37.639999999999986,-0.0053625414229255,0.169526618404981,0.2123487625287876,1201.51,738.04
杭州,2010,671.34,616.58,5949.2,-54.75999999999999,-0.0092045989376722,0.2890800514602816,0.2573001631321372,956.2,988.34
杭州,2009,520.79,490.4,5088.0,-30.389999999999983,-0.0059728773584905,0.1437136268804215,0.1685371839778873,704.68,1456.38
杭州,2008,455.35,419.67,4781.16,-35.68000000000001,-0.0074626241330555,0.162734283233747,0.2500595734540687,615.41,775.02
杭州,2007,391.62,335.72,4100.17,-55.89999999999998,-0.0136335810466395,0.2993795414579117,0.2186728619137505,518.79,1150.28
杭州,2006,301.39,275.48,3441.51,-25.909999999999968,-0.0075286720073456,,,442.65,761.76
武汉,2024,1667.31,2481.0,21106.23,813.69,0.0385521241832387,0.0412877841618786,0.125639722696091,3332.08,1998.3
武汉,2023,1601.2,2204.08,20012.0,602.8799999999999,0.0301259244453327,0.0641040977178781,-0.0085779187189348,3446.88,1972.96
武汉,2022,1504.74,2223.15,18866.43,718.4100000000001,0.0380787462174878,-0.0468184841478478,0.0032401160665533,3366.79,2122.34
武汉,2021,1578.65,2215.97,17716.76,637.3199999999997,0.0359727173591559,0.2831527526030448,-0.0796740606609326,3254.62,2759.39
武汉,2020,1230.29,2407.81,15616.0,1177.52,0.0754047131147541,-0.213429915863233,0.0763086138304054,2777.15,2646.37
武汉,2019,1564.12,2237.1,16223.0,672.98,0.0414830795783763,0.0231700137371622,0.1595337193089756,2966.21,3332.34
武汉,2018,1528.7,1929.31,14847.29,400.6099999999999,0.0269820283701604,0.0896480936326118,0.1163179577383293,2780.01,3646.94
武汉,2017,1402.93,1728.28,13410.34,325.3499999999999,0.0242611298445826,0.0611375841464338,0.1335362174357897,2686.34,3532.61
武汉,2016,1322.1,1524.68,11912.61,202.58000000000015,0.0170055092880569,0.0613906216131594,0.1394790927095401,2517.44,3255.66
武汉,2015,1245.63,1338.05,10905.6,92.41999999999985,0.0084745451877934,0.131341846651287,0.1386690494426006,2581.79,2627.19
武汉,2014,1101.02,1175.1,10069.48,74.07999999999993,0.0073568843674151,0.1251890610309447,0.0465054146480476,2353.63,2273.16
武汉,2013,978.52,1122.88,9051.27,144.36000000000013,0.0159491430484341,0.1809601969634795,0.268002936028457,1905.6,1995.36
武汉,2012,828.58,885.55,8003.8,56.969999999999914,0.0071178690122191,0.2306983928942756,0.1575211753633796,1574.86,1576.11
武汉,2011,673.26,765.04,6762.2,91.77999999999996,0.0135725059891751,0.7254670801404444,0.3110101962128353,1282.25,1329.34
武汉,2010,390.19,583.55,5565.9,193.35999999999996,0.0347401139079034,0.2345050147119309,0.1586649193868636,1017.4,1211.71
武汉,2009,316.07,503.64,4621.0,187.57,0.0405907812161869,0.1397302754940141,0.3328040647824706,778.59,1086.99
武汉,2008,277.32,377.88,3960.08,100.56,0.0253934263954263,0.2509924215084806,0.229958011912899,560.36,732.07
武汉,2007,221.68,307.23,3141.9,85.55000000000001,0.027228746936567,0.2412094064949608,0.1916915557969047,459.75,1135.41
武汉,2006,178.6,257.81,2590.76,79.21000000000001,0.0305740400500239,,,366.15,960.88
沈阳,2024,825.58,1160.69,9027.14,335.11,0.0371224994848866,0.0308796903290253,0.0706879693005924,510.47,522.57
沈阳,2023,800.85,1084.06,8122.0,283.2099999999999,0.0348694902733316,0.1221572995922486,0.0289201681868658,610.86,530.33
沈阳,2022,713.67,1053.59,7695.8,339.91999999999996,0.0441695470256503,-0.076776797495537,0.0204261501210651,940.31,648.89
沈阳,2021,773.02,1032.5,7249.0,259.48,0.0357952821078769,0.0501847625258122,-0.0386853498440481,1222.61,1092.7
沈阳,2020,736.08,1074.05,6572.0,337.9699999999999,0.0514257455873402,0.0079283572279507,0.0251992554765425,1235.89,1381.32
